,MaxAbsEStateIndex,MaxEStateIndex,MinAbsEStateIndex,MinEStateIndex,qed,MolWt,HeavyAtomMolWt,ExactMolWt,NumValenceElectrons,NumRadicalElectrons,MaxPartialCharge,MinPartialCharge,MaxAbsPartialCharge,MinAbsPartialCharge,FpDensityMorgan1,FpDensityMorgan2,FpDensityMorgan3,BCUT2D_MWHI,BCUT2D_MWLOW,BCUT2D_CHGHI,BCUT2D_CHGLO,BCUT2D_LOGPHI,BCUT2D_LOGPLOW,BCUT2D_MRHI,BCUT2D_MRLOW,AvgIpc,BalabanJ,BertzCT,Chi0,Chi0n,Chi0v,Chi1,Chi1n,Chi1v,Chi2n,Chi2v,Chi3n,Chi3v,Chi4n,Chi4v,HallKierAlpha,Ipc,Kappa1,Kappa2,Kappa3,LabuteASA,PEOE_VSA1,PEOE_VSA10,PEOE_VSA11,PEOE_VSA12,PEOE_VSA13,PEOE_VSA14,PEOE_VSA2,PEOE_VSA3,PEOE_VSA4,PEOE_VSA5,PEOE_VSA6,PEOE_VSA7,PEOE_VSA8,PEOE_VSA9,SMR_VSA1,SMR_VSA10,SMR_VSA2,SMR_VSA3,SMR_VSA4,SMR_VSA5,SMR_VSA6,SMR_VSA7,SMR_VSA8,SMR_VSA9,SlogP_VSA1,SlogP_VSA10,SlogP_VSA11,SlogP_VSA12,SlogP_VSA2,SlogP_VSA3,SlogP_VSA4,SlogP_VSA5,SlogP_VSA6,SlogP_VSA7,SlogP_VSA8,SlogP_VSA9,TPSA,EState_VSA1,EState_VSA10,EState_VSA11,EState_VSA2,EState_VSA3,EState_VSA4,EState_VSA5,EState_VSA6,EState_VSA7,EState_VSA8,EState_VSA9,VSA_EState1,VSA_EState10,VSA_EState2,VSA_EState3,VSA_EState4,VSA_EState5,VSA_EState6,VSA_EState7,VSA_EState8,VSA_EState9,FractionCSP3,HeavyAtomCount,NHOHCount,NOCount,NumAliphaticCarbocycles,NumAliphaticHeterocycles,NumAliphaticRings,NumAromaticCarbocycles,NumAromaticHeterocycles,NumAromaticRings,NumHAcceptors,NumHDonors,NumHeteroatoms,NumRotatableBonds,NumSaturatedCarbocycles,NumSaturatedHeterocycles,NumSaturatedRings,RingCount,MolLogP,MolMR,fr_Al_COO,fr_Al_OH,fr_Al_OH_noTert,fr_ArN,fr_Ar_COO,fr_Ar_N,fr_Ar_NH,fr_Ar_OH,fr_COO,fr_COO2,fr_C_O,fr_C_O_noCOO,fr_C_S,fr_HOCCN,fr_Imine,fr_NH0,fr_NH1,fr_NH2,fr_N_O,fr_Ndealkylation1,fr_Ndealkylation2,fr_Nhpyrrole,fr_SH,fr_aldehyde,fr_alkyl_carbamate,fr_alkyl_halide,fr_allylic_oxid,fr_amide,fr_amidine,fr_aniline,fr_aryl_methyl,fr_azide,fr_azo,fr_barbitur,fr_benzene,fr_benzodiazepine,fr_bicyclic,fr_diazo,fr_dihydropyridine,fr_epoxide,fr_ester,fr_ether,fr_furan,fr_guanido,fr_halogen,fr_hdrzine,fr_hdrzone,fr_imidazole,fr_imide,fr_isocyan,fr_isothiocyan,fr_ketone,fr_ketone_Topliss,fr_lactam,fr_lactone,fr_methoxy,fr_morpholine,fr_nitrile,fr_nitro,fr_nitro_arom,fr_nitro_arom_nonortho,fr_nitroso,fr_oxazole,fr_oxime,fr_para_hydroxylation,fr_phenol,fr_phenol_noOrthoHbond,fr_phos_acid,fr_phos_ester,fr_piperdine,fr_piperzine,fr_priamide,fr_prisulfonamd,fr_pyridine,fr_quatN,fr_sulfide,fr_sulfonamd,fr_sulfone,fr_term_acetylene,fr_tetrazole,fr_thiazole,fr_thiocyan,fr_thiophene,fr_unbrch_alkane,fr_urea
Cc1ccc(NC(=O)c2cc3ccccc3s2)nc1,12.127948318216177,12.127948318216177,0.11337679516250954,-0.11337679516250954,0.7665332746688359,268.341,256.245,268.067034004,94,0,0.2664226980241817,-0.30586099512168474,0.30586099512168474,0.2664226980241817,1.2105263157894737,2.0526315789473686,2.789473684210526,32.13353229619805,10.234171191395369,2.100637488829036,-2.016567472689928,2.25237253592544,-2.105940542931479,7.204586210541508,0.10254388893787246,2.8512403003808884,1.8503228664802482,698.2452057542329,13.242276208189782,10.382512329944692,11.199008910872418,9.220346690612276,5.94823739868996,6.764733979617686,4.323390209404892,5.407167165891718,2.80227939633616,3.917137361994134,1.813445058564579,2.7714167369550946,-2.1999999999999993,38240.83490870847,11.866093254866454,4.818489641345512,2.4846016646848996,114.47144162109922,5.316788604006331,5.817862777835028,0.0,0.0,5.907179729351506,0.0,4.794537184071822,4.983978520947208,0.0,11.336785877934735,24.26546827384644,36.07251411123725,10.896763488082176,4.877147193701299,4.794537184071822,33.14797251605516,0.0,4.983978520947208,0.0,6.923737199690624,5.316788604006331,59.102011736242645,0.0,0.0,5.316788604006331,5.817862777835028,0.0,11.336785877934735,10.891158250298712,0.0,6.923737199690624,15.235135869470117,48.661413050844345,0.0,10.086144130933896,0.0,41.99,0.0,4.794537184071822,0.0,5.907179729351506,10.695009971536328,15.64959562263089,11.336785877934735,12.263210640074686,43.321939610460284,10.300767124953538,0.0,1.1152919501133787,1.4879567953724697,16.996066074577982,3.8988945578231293,1.0693158021932374,0.46352702191987905,13.602750918013363,1.7366421012849584,1.9628881120349373,0.0,0.06666666666666667,19,1,3,0,0,0,1,2,3,3,1,4,2,0,0,0,3,3.857020000000002,78.75220000000003,0,0,0,0,0,1,0,0,0,0,1,1,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,1,0,1,1,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0
O=C(NCc1ccc(F)cc1F)c1ccco1,13.22858347505669,13.22858347505669,0.02217592592592621,-0.6900510204081629,0.8906064043035289,237.20499999999998,228.13299999999995,237.060134968,88,0,0.28674466429058953,-0.45920519513607067,0.45920519513607067,0.28674466429058953,1.2941176470588236,2.1176470588235294,2.764705882352941,19.145454142369406,10.175926046865595,2.0923316044842872,-2.0419761239632637,2.0917498903412937,-2.223251188184474,5.907526725864007,0.09226102341712367,2.806488213003701,2.0051270859134047,523.3068281195697,12.25071237662706,8.743633923270483,8.743633923270483,8.164703797946448,4.922397478029218,4.922397478029218,3.395710452045673,3.395710452045673,2.199476631243446,2.199476631243446,1.3354238012044182,1.3354238012044182,-2.17,10555.20216910692,11.319407152511545,4.77714057675928,2.68874938476672,96.05516590793532,9.733939541059678,11.634441682091788,5.7602474188744415,0.0,5.907179729351506,0.0,4.794537184071822,8.78083009534964,0.0,0.0,6.06636706846161,18.19910120538483,18.17457496607118,6.263162995639057,17.99251821647481,5.907179729351506,0.0,5.316788604006331,0.0,6.544756405912575,0.0,59.55313893061033,0.0,0.0,5.316788604006331,8.78083009534964,0.0,0.0,5.907179729351506,6.544756405912575,11.634441682091788,16.118236094643258,41.01214927500045,0.0,0.0,0.0,42.24,17.541621411443295,13.575367279421462,0.0,17.868455316484013,0.0,12.13273413692322,18.395897132562276,6.06636706846161,0.0,5.316788604006331,4.417150937053347,30.723153880417588,0.0,11.455957420005038,2.4665051020408164,0.21417233560090732,-1.6392584719072798,6.266536197021407,1.368442796080783,-0.02217592592592621,0.0,0.08333333333333333,17,1,3,0,0,0,1,1,2,2,1,5,3,0,0,0,2,2.487800000000001,56.236200000000025,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
O=C(NCc1ccc(Cl)cc1)c1cccc(-c2ccccc2)c1,12.331297696033145,12.331297696033145,0.0854341458805743,-0.0854341458805743,0.7244231313314544,321.807,305.67900000000003,321.092041812,114,0,0.2510665627747987,-0.3479617088124412,0.3479617088124412,0.2510665627747987,0.8260869565217391,1.5217391304347827,2.260869565217391,35.495691483985425,10.027921738493232,2.0662017833559188,-2.075177496921593,2.196405112067455,-2.222114459316323,6.300891274860015,0.09506966852197898,2.6169656496123976,1.7117627428172768,797.3853641335054,16.070703332935974,12.498873044124776,13.25480199014323,11.220346690612274,7.403631175537889,7.781595648547116,5.255973713193074,5.692409493665059,3.598209067636576,3.850185382976061,2.357260074208693,2.4832482318784357,-2.5799999999999987,246455.35701789716,15.320853943170725,7.1204929021315015,3.992370205631557,140.29012627095173,5.316788604006331,0.0,0.0,0.0,5.907179729351506,0.0,4.794537184071822,0.0,0.0,0.0,66.198243506387,40.95582274893743,17.130841211350898,0.0,4.794537184071822,17.508119619584022,0.0,5.316788604006331,0.0,6.544756405912575,0.0,95.01230818713628,0.0,11.126902983393991,5.316788604006331,0.0,0.0,11.600939890232516,5.907179729351506,6.544756405912575,0.0,15.921440167465814,78.86277189000094,5.022633313741326,11.126902983393991,0.0,29.1,0.0,4.794537184071822,0.0,5.907179729351506,17.130841211350898,16.690354475090988,0.0,0.0,78.86277189000094,5.316788604006331,11.600939890232516,0.0,5.858558323910795,12.331297696033145,3.6217695311922617,3.7980321604290466,-0.0854341458805743,25.10914267896133,0.0,0.4777448664651043,0.0,0.05,23,1,2,0,0,0,3,0,3,1,1,3,4,0,0,0,3,4.937000000000004,94.50020000000002,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
COc1ccc(CNC(=O)C(C)c2ccc(-c3ccccc3)c(F)c2)cc1,14.538211303224173,14.538211303224173,0.14103780864197502,-0.44206322961283373,0.6749137887634578,363.432,341.2560000000001,363.163457164,138,0,0.22702708308467148,-0.49676820001960154,0.49676820001960154,0.22702708308467148,1.037037037037037,1.7407407407407407,2.3703703703703702,19.14219361411551,9.960047262631365,2.167518784359784,-2.140671062783135,2.260070789744213,-2.2711827818381254,5.830677080836775,-0.12189314035324868,2.719859873656837,1.661962444315387,907.4212909290658,19.22540387131522,15.40712133458864,15.40712133458864,13.07971869811898,8.8373708162796,8.8373708162796,6.39287576296045,6.39287576296045,4.597015989377216,4.597015989377216,2.8895535131634835,2.8895535131634835,-3.139999999999999,1511763.394415438,18.645148658760448,8.494855011852811,4.530021525966415,158.360767019693,10.05365155780638,11.5667326743298,0.0,5.907179729351506,0.0,0.0,4.794537184071822,4.39041504767482,0.0,0.0,54.59730361615449,41.81319288016644,12.10820789760957,13.027703587438927,13.92181518554669,5.907179729351506,0.0,5.316788604006331,0.0,19.38639965176459,7.109797541277533,89.74052864597923,0.0,16.876414816677897,10.05365155780638,4.39041504767482,5.749511833283905,0.0,13.016977270629038,11.339293589984397,5.817220841045894,23.96854622924601,72.79640482153933,0.0,11.126902983393991,0.0,38.33,5.917906046161393,9.184952231746642,0.0,11.7244005703974,17.671659389306566,16.876414816677897,6.06636706846161,20.099901809429767,60.6636706846161,5.316788604006331,4.736862953800049,19.658951863486255,0.0,12.447867098630086,2.8982390593213103,2.9765920957082583,-0.13779545256934211,21.851851351731867,0.0,2.1925270883784593,1.6117668953131061,0.17391304347826086,27,1,3,0,0,0,3,0,3,2,1,4,6,0,0,0,3,4.921200000000004,105.09170000000003,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,3,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
COc1ccc(NC(=O)c2cccc(-c3ccccc3)c2)cn1,12.381949089821113,12.381949089821113,0.17152966742252418,-0.17152966742252418,0.7920462418845332,304.34900000000005,288.221,304.12117775200005,114,0,0.25522333993734847,-0.48098233139744584,0.48098233139744584,0.25522333993734847,0.9565217391304348,1.7391304347826086,2.4347826086956523,16.472651011009027,10.028322575086838,2.0775573999786636,-2.0743884594222597,2.204649753561145,-2.1160810168637956,6.044139493885305,0.10220366764554821,2.630129892196765,1.7925350399276334,799.1133032758246,16.070703332935974,12.691913406703199,12.691913406703199,11.25835149307306,7.229711813111517,7.229711813111517,4.990189979462717,4.990189979462717,3.4352329695569175,3.4352329695569175,2.248847243433306,2.248847243433306,-3.1399999999999992,257458.15488735694,14.782990769673768,6.747221860084726,3.5501870578602897,134.32005325452346,10.05365155780638,0.0,0.0,5.879988336435371,5.907179729351506,0.0,4.794537184071822,4.983978520947208,0.0,0.0,42.46456947923127,29.32600418877882,11.629818560158606,18.99402738757417,9.53140013787187,11.594566004035068,0.0,4.983978520947208,0.0,0.0,12.426586145283864,78.49033281638779,0.0,17.00689131982936,10.05365155780638,5.687386274683562,5.879988336435371,0.0,18.000955791576246,0.0,0.0,10.357988675768818,72.92688132469078,0.0,11.126902983393991,0.0,51.22,0.0,4.794537184071822,0.0,5.907179729351506,17.130826102815927,11.126902983393991,0.0,31.505742318275438,48.53093654769288,10.300767124953538,4.736862953800049,4.99969641957092,0.0,16.454050000407776,2.8312063807004284,3.3078290244140716,0.3368721329566047,20.951846491022803,1.56724253590325,0.0,1.5512570150241505,0.05263157894736842,23,1,4,0,0,0,2,1,3,3,1,4,4,0,0,0,3,4.009500000000003,90.62020000000001,0,0,0,0,0,1,0,0,0,0,1,1,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,2,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
O=C(C(c1ccccc1)c1ccccc1)N1CCOCC1,12.969544595616025,12.969544595616025,0.1626851851851856,-0.23101851851851918,0.8654108677236334,281.355,262.203,281.14157884800005,108,0,0.23423655808260344,-0.37777420419165664,0.37777420419165664,0.23423655808260344,0.8571428571428571,1.3333333333333333,1.8095238095238095,16.47785034612978,9.896773452381739,2.27741288159038,-2.3049397604631516,2.2663090437471456,-2.428896906817043,5.868866040407494,-0.1354583424412205,2.5769739686980895,1.9411528602338517,537.1820259565628,14.493353063746348,11.942990262259762,11.942990262259762,10.360173345306137,7.3249293530355715,7.3249293530355715,5.1920381698895754,5.1920381698895754,3.8355197394670237,3.8355197394670237,2.73489424655707,2.73489424655707,-2.13,109676.0121077907,13.834902633846461,6.547579499570575,3.138251866331591,124.70721985816547,9.636772684650527,0.0,0.0,5.907179729351506,0.0,0.0,4.794537184071822,0.0,0.0,0.0,60.6636706846161,11.126902983393991,13.08951281182515,19.13166997518723,9.53140013787187,5.907179729351506,0.0,4.899909730850477,0.0,5.917906046161393,26.303276740850986,71.7905736680101,0.0,0.0,0.0,0.0,0.0,0.0,37.11036620105297,9.53140013787187,0.0,17.044809029555385,60.6636706846161,0.0,0.0,0.0,29.540000000000003,0.0,4.794537184071822,0.0,11.8250857755129,26.303276740850986,11.126902983393991,0.0,0.0,65.56358041546657,0.0,4.736862953800049,5.347144746787604,0.0,14.880424225245655,0.0,2.0836885865457297,-0.06833333333333358,19.985171327790376,0.0,2.605237780297304,0.0,0.2777777777777778,21,0,3,0,1,1,2,0,2,2,0,3,3,0,1,1,3,2.6773000000000007,82.12600000000005,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,2,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
C#Cc1cccc(NC(=O)C2c3ccccc3Oc3ccccc32)c1,13.074278628117915,13.074278628117915,0.11354497354497362,-0.4345908919123209,0.7023305948001618,325.367,310.24700000000007,325.11027872000005,120,0,0.2361683460840271,-0.4567219772596715,0.4567219772596715,0.2361683460840271,0.92,1.56,2.2,16.482729981373854,9.86951752810176,2.318593013951985,-2.269906068758535,2.43748578563938,-2.245885468852621,5.992246194048012,-0.11644352672091006,2.6565844396325895,1.7391122192918098,955.1591004582057,17.225403871315223,13.399400349582491,13.399400349582491,12.25835149307306,7.993140717500217,7.993140717500217,5.825119873131685,5.825119873131685,4.238909684210272,4.238909684210272,3.0935507441444585,3.0935507441444585,-3.509999999999999,824391.2833067852,15.043287722874531,6.17950428811278,2.7479260384300415,145.8236837407002,10.05365155780638,11.49902366656781,0.0,5.907179729351506,0.0,0.0,4.794537184071822,0.0,0.0,6.423349895620259,48.38500379808691,30.33183534230805,22.37774074977455,5.917906046161393,9.53140013787187,11.594566004035068,0.0,0.0,0.0,5.917906046161393,5.316788604006331,89.48675929663032,0.0,23.84280788104371,10.05365155780638,5.687386274683562,11.49902366656781,0.0,5.907179729351506,4.794537184071822,12.343784214475903,22.60826052125238,72.79640482153933,0.0,0.0,0.0,38.33,5.917906046161393,4.794537184071822,0.0,5.907179729351506,17.186409941251373,16.690354475090988,0.0,6.06636706846161,66.73003775307771,11.237222922861974,11.160212849420308,5.938022960918884,0.0,13.074278628117915,2.978093348450491,3.1167507033677673,3.4462973951186435,22.50702588787275,5.439531076153552,0.0,0.0,0.045454545454545456,25,1,3,0,1,1,3,0,3,2,1,3,2,0,0,0,4,4.544200000000004,97.80770000000001,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,3,0,2,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
CC(C(=O)NCc1ccccc1)c1ccc(-c2ccccc2)c(F)c1,14.478657024576487,14.478657024576487,0.11507947005962871,-0.41385592508608493,0.7058583938567335,333.406,313.24600000000004,333.15289248,126,0,0.22702708295582896,-0.3515057507380541,0.3515057507380541,0.22702708295582896,0.96,1.6,2.24,19.142192569577514,9.960085923252992,2.166312994637384,-2.138795707547332,2.2590490103753758,-2.270987436689136,5.8305475377792675,-0.12189297585215353,2.6661762316604007,1.7042609846702914,846.4158913581081,17.6480536021256,14.076223313314403,14.076223313314403,12.147867045540842,8.314314778060847,8.314314778060847,6.030399626522628,6.030399626522628,4.280786521049301,4.280786521049301,2.742027608068496,2.742027608068496,-2.9399999999999986,612623.3098060002,16.901723621121764,7.75379876877876,4.126255426435942,146.8822796757895,5.316788604006331,5.817220841045894,0.0,5.907179729351506,0.0,0.0,4.794537184071822,4.39041504767482,0.0,0.0,72.79640482153933,29.680458743243218,12.10820789760957,5.917906046161393,9.184952231746642,5.907179729351506,0.0,5.316788604006331,0.0,19.38639965176459,0.0,95.80689571444084,0.0,11.126902983393991,5.316788604006331,4.39041504767482,0.0,0.0,5.907179729351506,11.339293589984397,5.817220841045894,23.96854622924601,78.86277189000094,0.0,11.126902983393991,0.0,29.1,5.917906046161393,9.184952231746642,0.0,11.7244005703974,17.671659389306566,11.126902983393991,6.06636706846161,12.990104268152233,66.73003775307771,5.316788604006331,0.0,14.478657024576487,0.0,12.349448888753543,2.901575463327357,3.074421110980386,-0.8424452341389577,24.11583791393863,0.0,2.255838165895886,0.0,0.13636363636363635,25,1,2,0,0,0,3,0,3,1,1,3,5,0,0,0,3,4.912600000000004,98.53970000000004,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
CC(C)N(C(=O)c1ccc(C(F)(F)F)cn1)c1ccccc1,12.537090377856071,12.537090377856071,0.022636054421768748,-4.466525019443041,0.8529254026669805,308.30299999999994,293.18300000000005,308.11364776,116,0,0.41738949098548844,-0.3045379813640521,0.41738949098548844,0.3045379813640521,1.0909090909090908,1.7272727272727273,2.1818181818181817,19.413177818682065,10.158122627919001,2.3110029071468356,-2.26186434734393,2.2840248096670974,-2.3707667643992987,6.046355947718886,-0.13738504585206823,2.471014571024243,2.322662594872063,636.6905364961104,16.328062645816686,12.132721323198094,12.132721323198094,10.3035490182802,6.723031905510014,6.723031905510014,5.0343255650819545,5.0343255650819545,3.0794882983260794,3.0794882983260794,2.0499688368987576,2.0499688368987576,-2.3699999999999997,67527.88619695051,16.008386214749216,6.171965444567126,3.4432485565673674,125.95081785751638,4.899909730850477,5.693927994848461,0.0,0.0,5.907179729351506,6.176298517443475,9.778515705019029,0.0,13.171245143024459,0.0,18.19910120538483,38.112942673227685,17.9260706754446,5.563451491696996,17.96578232709628,11.594566004035068,0.0,4.983978520947208,0.0,26.065613745972684,4.899909730850477,59.9187925373898,0.0,0.0,4.899909730850477,18.858631417708022,0.0,0.0,16.932999079446674,6.176298517443475,0.0,29.899391069998526,48.661413050844345,0.0,0.0,0.0,33.2,17.646929738491977,17.96578232709628,0.0,11.735768823996422,11.884229846296638,12.13273413692322,4.899909730850477,24.26546827384644,19.913841467842857,4.983978520947208,0.0,37.61127113356821,0.0,17.68821853741497,0.0,-0.2272138631687246,-0.4352551020408153,10.745476535891623,-3.789210204628226,3.656712962962963,0.0,0.25,22,0,3,0,0,0,1,1,2,2,0,6,3,0,0,0,2,4.155600000000003,77.62650000000004,0,0,0,0,0,1,0,0,0,0,1,1,0,0,0,2,0,0,0,0,0,0,0,0,0,3,0,1,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
Cc1ccc2cc(C(=O)NCc3ccccc3)ccc2n1,12.197099237843286,12.197099237843286,0.06821475812547217,-0.06821475812547217,0.7955156970799055,276.33900000000006,260.21099999999996,276.126263132,104,0,0.25106882435031064,-0.3479617077981789,0.3479617077981789,0.25106882435031064,1.0476190476190477,1.8571428571428572,2.6666666666666665,16.149069429895842,10.100644147442852,2.0628189491429074,-2.063742862334574,2.1454245840861503,-2.2216058041855864,5.974111812828406,0.09508015061591914,2.5277594859889523,1.7663458946525423,781.5851352057824,14.656489770562878,11.83607135904663,11.83607135904663,10.220346690612276,6.91784559867694,6.91784559867694,5.028389119105065,5.028389119105065,3.3865124940035045,3.3865124940035045,2.2489745132816186,2.2489745132816186,-2.6799999999999993,86803.26074886062,13.309870729741462,5.751772479172652,3.081582070290516,123.19602046508437,5.316788604006331,0.0,0.0,0.0,5.907179729351506,0.0,9.778515705019029,0.0,0.0,0.0,36.39820241076966,36.75265696523406,23.18836010692283,5.516700717616262,4.794537184071822,16.81010466143256,0.0,10.300767124953538,0.0,13.4684936056032,0.0,77.48450166285856,0.0,0.0,5.316788604006331,0.0,0.0,0.0,10.891158250298712,6.544756405912575,6.923737199690624,21.615368162314272,60.6636706846161,0.0,10.902924932081056,0.0,41.99,0.0,4.794537184071822,0.0,5.907179729351506,12.10820789760957,22.160304418626517,0.0,0.0,67.58740788430673,10.300767124953538,0.0,0.0,0.0,16.635060960347307,3.911565072016461,3.6309290013293998,-0.06821475812547217,19.400800731579984,0.0,2.489858992852319,0.0,0.1111111111111111,21,1,3,0,0,0,2,1,3,2,1,3,3,0,0,0,3,3.473220000000002,84.09220000000003,0,0,0,0,0,1,0,0,0,0,1,1,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,2,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
CN(C(=O)c1ccco1)c1ccc(F)cc1,12.702580309901737,12.702580309901737,0.25631944444444454,-0.3309281567565294,0.7775960853646483,219.21499999999997,209.13499999999996,219.06955678,82,0,0.293190807222534,-0.45918317169071843,0.45918317169071843,0.293190807222534,1.25,1.9375,2.5,19.14214124166094,10.249152717799086,2.1498330262732943,-2.149694628040695,2.156117480914245,-2.2513989249163533,6.03203398466834,0.09662413605918235,2.8143317396494867,2.221957926537816,476.2296845133627,11.543605595440512,8.683126533764293,8.683126533764293,7.6815405503520555,4.754068984671307,4.754068984671307,3.317887758959968,3.317887758959968,2.250521283927683,2.250521283927683,1.3474907593074341,1.3474907593074341,-2.0999999999999996,6957.028060413531,10.418895545245709,4.182067718229895,1.9538687967275195,92.09960199160443,9.317060667903824,5.817220841045894,5.7602474188744415,0.0,5.907179729351506,0.0,4.794537184071822,4.39041504767482,0.0,0.0,0.0,36.39820241076966,12.735058257360752,6.263162995639057,13.602103168799989,11.594566004035068,0.0,0.0,0.0,0.0,11.947581713527667,54.23883366632905,0.0,0.0,4.899909730850477,10.077801322358383,0.0,0.0,12.954851712028695,0.0,5.817220841045894,10.554784602946263,47.07851634346206,0.0,0.0,0.0,33.45,0.0,9.184952231746642,0.0,17.484647989271842,5.687386274683562,0.0,35.428541000335976,19.18040611960041,0.0,0.0,4.417150937053347,17.69893211451247,0.0,13.230625944822375,0.0,0.6137037037037041,-0.34163819077013446,8.919580551356345,1.4362448559670782,0.0,1.60921768707483,0.08333333333333333,16,0,3,0,0,0,1,1,2,2,0,4,2,0,0,0,2,2.6953000000000014,57.841500000000025,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,1,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
