Reaction #,Prod_Smiles,ArX_Smiles,Acid_Smiles,CAD Yield
2738,Cc1ccncc1C1CCN(C(=O)c2nn(C)c3c2CN(C(=O)C2CC2)CC3)CC1,Cc1ccncc1Br,Cn1nc(C(=O)N2CCC(C(=O)O)CC2)c2c1CCN(C(=O)C1CC1)C2,45.3
2739,COC(=O)c1ccc(C2CCN(C(=O)c3nn(C)c4c3CN(C(=O)C3CC3)CC4)CC2)o1,COC(=O)c1ccc(Br)o1,Cn1nc(C(=O)N2CCC(C(=O)O)CC2)c2c1CCN(C(=O)C1CC1)C2,25.8
2740,Cn1nc(C(=O)N2CCC(c3ccc4oc5ccccc5c4c3)CC2)c2c1CCN(C(=O)C1CC1)C2,Brc1ccc2oc3ccccc3c2c1,Cn1nc(C(=O)N2CCC(C(=O)O)CC2)c2c1CCN(C(=O)C1CC1)C2,24.8
2741,Cn1nc(C(=O)N2CCC(c3ccccc3CCO)CC2)c2c1CCN(C(=O)C1CC1)C2,OCCc1ccccc1Br,Cn1nc(C(=O)N2CCC(C(=O)O)CC2)c2c1CCN(C(=O)C1CC1)C2,8.5
2742,Cn1nc(C(=O)N2CCC(c3ccc4c(c3)C3(OCCO3)C(=O)N4)CC2)c2c1CCN(C(=O)C1CC1)C2,O=C1Nc2ccc(Br)cc2C12OCCO2,Cn1nc(C(=O)N2CCC(C(=O)O)CC2)c2c1CCN(C(=O)C1CC1)C2,3.7
2743,Cn1nc(C(=O)N2CCC(c3csc(C#N)c3)CC2)c2c1CCN(C(=O)C1CC1)C2,N#Cc1cc(Br)cs1,Cn1nc(C(=O)N2CCC(C(=O)O)CC2)c2c1CCN(C(=O)C1CC1)C2,30.6
2744,Cn1nc(C(=O)N2CCC(c3ccc4ncnc(O)c4c3)CC2)c2c1CCN(C(=O)C1CC1)C2,Oc1ncnc2ccc(Br)cc12,Cn1nc(C(=O)N2CCC(C(=O)O)CC2)c2c1CCN(C(=O)C1CC1)C2,37.2
2745,Cc1cc(C(=O)O)c2cc(C3CCN(C(=O)c4nn(C)c5c4CN(C(=O)C4CC4)CC5)CC3)ccc2n1,Cc1cc(C(=O)O)c2cc(Br)ccc2n1,Cn1nc(C(=O)N2CCC(C(=O)O)CC2)c2c1CCN(C(=O)C1CC1)C2,3.2
2746,Cn1nc(C(=O)N2CCC(c3ccc(-c4ccn[nH]4)s3)CC2)c2c1CCN(C(=O)C1CC1)C2,Brc1ccc(-c2ccn[nH]2)s1,Cn1nc(C(=O)N2CCC(C(=O)O)CC2)c2c1CCN(C(=O)C1CC1)C2,0.3
2747,Cn1nc(C(=O)N2CCC(c3ccc(N4CCNCC4)cc3)CC2)c2c1CCN(C(=O)C1CC1)C2,Brc1ccc(N2CCNCC2)cc1,Cn1nc(C(=O)N2CCC(C(=O)O)CC2)c2c1CCN(C(=O)C1CC1)C2,0.0
2748,Cn1nc(C(=O)N2CCC(c3ccccc3-c3nnn[nH]3)CC2)c2c1CCN(C(=O)C1CC1)C2,Brc1ccccc1-c1nnn[nH]1,Cn1nc(C(=O)N2CCC(C(=O)O)CC2)c2c1CCN(C(=O)C1CC1)C2,0.0
2749,Cn1nc(C(=O)N2CCC(c3ccc4[nH]cnc4c3)CC2)c2c1CCN(C(=O)C1CC1)C2,Brc1ccc2[nH]cnc2c1,Cn1nc(C(=O)N2CCC(C(=O)O)CC2)c2c1CCN(C(=O)C1CC1)C2,35.4
2750,C#Cc1ccc(C2CCN(C(=O)c3nn(C)c4c3CN(C(=O)C3CC3)CC4)CC2)cc1,C#Cc1ccc(Br)cc1,Cn1nc(C(=O)N2CCC(C(=O)O)CC2)c2c1CCN(C(=O)C1CC1)C2,0.0
2751,CC(=O)/C=C/c1ccc(C2CCN(C(=O)c3nn(C)c4c3CN(C(=O)C3CC3)CC4)CC2)cc1,CC(=O)/C=C/c1ccc(Br)cc1,Cn1nc(C(=O)N2CCC(C(=O)O)CC2)c2c1CCN(C(=O)C1CC1)C2,0.0
2752,CSc1ncc(C2CCN(C(=O)c3nn(C)c4c3CN(C(=O)C3CC3)CC4)CC2)cn1,CSc1ncc(Br)cn1,Cn1nc(C(=O)N2CCC(C(=O)O)CC2)c2c1CCN(C(=O)C1CC1)C2,34.0
2753,Cc1ccc(C2CCN(C(=O)c3nn(C)c4c3CN(C(=O)C3CC3)CC4)CC2)nc1,Cc1ccc(Br)nc1,Cn1nc(C(=O)N2CCC(C(=O)O)CC2)c2c1CCN(C(=O)C1CC1)C2,55.5
2754,CC(=O)Cc1cccc(C2CCN(C(=O)c3nn(C)c4c3CN(C(=O)C3CC3)CC4)CC2)c1,CC(=O)Cc1cccc(Br)c1,Cn1nc(C(=O)N2CCC(C(=O)O)CC2)c2c1CCN(C(=O)C1CC1)C2,31.2
2755,Cn1nc(C(=O)N2CCC(c3ccc(-c4nc5ccccc5[nH]4)cc3)CC2)c2c1CCN(C(=O)C1CC1)C2,Brc1ccc(-c2nc3ccccc3[nH]2)cc1,Cn1nc(C(=O)N2CCC(C(=O)O)CC2)c2c1CCN(C(=O)C1CC1)C2,20.4
2756,Cn1nc(C(=O)N2CCC(c3cnc(O)nc3)CC2)c2c1CCN(C(=O)C1CC1)C2,Oc1ncc(Br)cn1,Cn1nc(C(=O)N2CCC(C(=O)O)CC2)c2c1CCN(C(=O)C1CC1)C2,0.3
2757,Cn1nc(C(=O)N2CCC(c3cncnc3N)CC2)c2c1CCN(C(=O)C1CC1)C2,Nc1ncncc1Br,Cn1nc(C(=O)N2CCC(C(=O)O)CC2)c2c1CCN(C(=O)C1CC1)C2,17.7
